"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.351125542E0,-1.184934154E-1,6.846878678E-2,-3.323602974E-1,3.594329306E-1
2.361141542E0,-1.376469731E-1,9.226083010E-2,-3.975369334E-1,4.306905657E-1
2.371157542E0,-1.557138562E-1,1.153959706E-1,-4.572055936E-1,4.965883505E-1
2.381173542E0,-1.713625789E-1,1.377295852E-1,-5.169430971E-1,5.617514911E-1
2.391189542E0,-1.838309616E-1,1.595744342E-1,-5.665881634E-1,6.166684436E-1
2.401205542E0,-1.877153218E-1,1.772293299E-1,-6.101853251E-1,6.625506837E-1
2.411221542E0,-1.908748895E-1,1.976469904E-1,-6.482528448E-1,7.040804692E-1
2.421237542E0,-1.885628104E-1,2.204992622E-1,-6.839765310E-1,7.429668587E-1
2.431253542E0,-1.834255755E-1,2.387421727E-1,-7.072815895E-1,7.686937060E-1
2.441269542E0,-1.734922081E-1,2.569955587E-1,-7.222228646E-1,7.859720922E-1
2.451285542E0,-1.567856669E-1,2.715564072E-1,-7.289731503E-1,7.935530741E-1
2.461301542E0,-1.416326612E-1,2.861900926E-1,-7.288948894E-1,7.957715373E-1
2.471317542E0,-1.227694973E-1,3.018468320E-1,-7.218508124E-1,7.919927114E-1
2.481333542E0,-1.008165255E-1,3.128882945E-1,-7.063626647E-1,7.791092803E-1
2.491348917E0,-7.299775630E-2,3.270111680E-1,-6.807469130E-1,7.587366710E-1
2.501363917E0,-4.982912540E-2,3.424897492E-1,-6.515739560E-1,7.377877677E-1
2.511379917E0,-2.299537882E-2,3.533307016E-1,-6.095266342E-1,7.049071499E-1
2.521395917E0,6.869032513E-3,3.655982018E-1,-5.652854443E-1,6.732435386E-1
2.531411917E0,3.399732336E-2,3.734409511E-1,-5.121825337E-1,6.347794182E-1
2.541427917E0,5.550117791E-2,3.867521286E-1,-4.534201622E-1,5.985377459E-1
2.551443917E0,8.255276829E-2,3.931487799E-1,-3.874400854E-1,5.581135569E-1
2.561459917E0,1.044482812E-1,3.977505565E-1,-3.184281886E-1,5.201071619E-1
2.571475917E0,1.218278036E-1,4.025287926E-1,-2.472359985E-1,4.878494456E-1
2.581491917E0,1.382229477E-1,4.063638151E-1,-1.679639518E-1,4.609219268E-1
2.591507917E0,1.534122825E-1,4.112866819E-1,-9.330837429E-2,4.487744599E-1
2.601523917E0,1.601327211E-1,4.126907289E-1,-1.264737360E-2,4.428499544E-1
2.611539917E0,1.652339995E-1,4.153964818E-1,6.766504794E-2,4.521449661E-1
2.621555917E0,1.696738303E-1,4.171981812E-1,1.409646124E-1,4.719264275E-1
2.631571917E0,1.682431698E-1,4.132407308E-1,2.211990058E-1,4.979986606E-1
2.641587917E0,1.596127450E-1,4.137675166E-1,2.916781008E-1,5.308068393E-1
2.651603917E0,1.528845429E-1,4.105301797E-1,3.602350652E-1,5.671666547E-1
2.661619917E0,1.401568353E-1,4.107371271E-1,4.234165847E-1,6.063254326E-1
2.671635917E0,1.281265318E-1,4.083373547E-1,4.825747013E-1,6.450070897E-1
2.681651917E0,1.104222313E-1,4.041830301E-1,5.336264968E-1,6.784646115E-1
2.691667917E0,9.141498804E-2,4.014431834E-1,5.774597526E-1,7.092059612E-1
2.701683917E0,7.304344326E-2,3.967222571E-1,6.170553565E-1,7.372117789E-1
2.711699917E0,5.718005821E-2,3.892422318E-1,6.483222246E-1,7.583539945E-1
2.721715917E0,3.682269901E-2,3.776203096E-1,6.705175638E-1,7.704198938E-1
